#title	Energy_deposit_(MeV)_in_the_absorber
#partle	Am241
#absorb	G4_Au
#Abs s	1.8
#Abs t	0.03
#Act s	1.5
#Act t	0.005
#n_done	1.000000e+05
#n_set	1.000000e+05
#nbins	4002

#E_l (MeV)	counts
0	5
5.5	0
5.50004	0
5.50007	0
5.50011	0
5.50015	0
5.50019	0
5.50023	0
5.50026	0
5.5003	0
5.50034	0
5.50038	0
5.50041	0
5.50045	0
5.50049	0
5.50052	0
5.50056	0
5.5006	0
5.50064	0
5.50068	0
5.50071	0
5.50075	0
5.50079	0
5.50082	0
5.50086	0
5.5009	0
5.50094	0
5.50098	0
5.50101	1
5.50105	0
5.50109	0
5.50113	0
5.50116	0
5.5012	0
5.50124	0
5.50127	0
5.50131	0
5.50135	0
5.50139	0
5.50143	0
5.50146	0
5.5015	0
5.50154	0
5.50157	0
5.50161	0
5.50165	0
5.50169	0
5.50173	0
5.50176	0
5.5018	0
5.50184	0
5.50188	0
5.50191	0
5.50195	0
5.50199	0
5.50202	0
5.50206	0
5.5021	0
5.50214	0
5.50218	0
5.50221	0
5.50225	0
5.50229	0
5.50232	0
5.50236	0
5.5024	0
5.50244	0
5.50248	0
5.50251	0
5.50255	0
5.50259	0
5.50263	0
5.50266	0
5.5027	0
5.50274	0
5.50277	0
5.50281	0
5.50285	0
5.50289	0
5.50293	0
5.50296	0
5.503	0
5.50304	0
5.50307	0
5.50311	0
5.50315	0
5.50319	0
5.50322	0
5.50326	0
5.5033	0
5.50334	0
5.50338	0
5.50341	0
5.50345	0
5.50349	0
5.50352	0
5.50356	0
5.5036	0
5.50364	0
5.50368	0
5.50371	0
5.50375	0
5.50379	0
5.50382	0
5.50386	0
5.5039	0
5.50394	0
5.50397	0
5.50401	0
5.50405	0
5.50409	0
5.50413	0
5.50416	0
5.5042	0
5.50424	0
5.50427	0
5.50431	0
5.50435	0
5.50439	0
5.50443	0
5.50446	0
5.5045	0
5.50454	0
5.50457	0
5.50461	0
5.50465	0
5.50469	0
5.50472	0
5.50476	0
5.5048	0
5.50484	0
5.50488	0
5.50491	0
5.50495	0
5.50499	0
5.50502	0
5.50506	0
5.5051	0
5.50514	0
5.50518	0
5.50521	0
5.50525	0
5.50529	0
5.50533	0
5.50536	0
5.5054	0
5.50544	0
5.50547	0
5.50551	0
5.50555	0
5.50559	0
5.50563	0
5.50566	0
5.5057	0
5.50574	0
5.50577	0
5.50581	0
5.50585	0
5.50589	0
5.50593	0
5.50596	0
5.506	0
5.50604	0
5.50608	0
5.50611	0
5.50615	0
5.50619	0
5.50622	0
5.50626	0
5.5063	0
5.50634	0
5.50638	0
5.50641	0
5.50645	0
5.50649	0
5.50652	0
5.50656	0
5.5066	0
5.50664	0
5.50668	0
5.50671	0
5.50675	0
5.50679	0
5.50683	0
5.50686	0
5.5069	0
5.50694	0
5.50697	0
5.50701	0
5.50705	0
5.50709	0
5.50713	0
5.50716	0
5.5072	0
5.50724	0
5.50727	0
5.50731	0
5.50735	0
5.50739	0
5.50743	0
5.50746	0
5.5075	0
5.50754	0
5.50758	0
5.50761	0
5.50765	0
5.50769	0
5.50772	0
5.50776	0
5.5078	0
5.50784	0
5.50788	0
5.50791	0
5.50795	0
5.50799	0
5.50802	0
5.50806	0
5.5081	0
5.50814	0
5.50817	0
5.50821	0
5.50825	0
5.50829	0
5.50833	0
5.50836	0
5.5084	0
5.50844	0
5.50847	0
5.50851	0
5.50855	0
5.50859	0
5.50863	0
5.50866	0
5.5087	0
5.50874	0
5.50877	0
5.50881	0
5.50885	0
5.50889	0
5.50892	0
5.50896	0
5.509	0
5.50904	0
5.50908	0
5.50911	0
5.50915	1
5.50919	0
5.50922	0
5.50926	0
5.5093	0
5.50934	0
5.50938	0
5.50941	0
5.50945	0
5.50949	0
5.50953	0
5.50956	0
5.5096	0
5.50964	0
5.50967	0
5.50971	0
5.50975	0
5.50979	0
5.50983	0
5.50986	0
5.5099	0
5.50994	0
5.50997	0
5.51001	0
5.51005	0
5.51009	0
5.51013	0
5.51016	0
5.5102	0
5.51024	0
5.51028	0
5.51031	0
5.51035	0
5.51039	0
5.51042	0
5.51046	0
5.5105	0
5.51054	0
5.51058	0
5.51061	0
5.51065	0
5.51069	0
5.51072	0
5.51076	0
5.5108	0
5.51084	0
5.51088	0
5.51091	0
5.51095	0
5.51099	0
5.51103	0
5.51106	0
5.5111	0
5.51114	0
5.51117	0
5.51121	0
5.51125	0
5.51129	0
5.51133	0
5.51136	0
5.5114	0
5.51144	0
5.51147	0
5.51151	0
5.51155	0
5.51159	0
5.51163	0
5.51166	0
5.5117	0
5.51174	0
5.51178	0
5.51181	0
5.51185	0
5.51189	0
5.51192	0
5.51196	0
5.512	0
5.51204	0
5.51208	0
5.51211	0
5.51215	0
5.51219	0
5.51222	0
5.51226	0
5.5123	0
5.51234	1
5.51238	1
5.51241	0
5.51245	0
5.51249	0
5.51253	0
5.51256	0
5.5126	0
5.51264	0
5.51267	1
5.51271	0
5.51275	0
5.51279	0
5.51283	0
5.51286	0
5.5129	0
5.51294	0
5.51297	0
5.51301	0
5.51305	0
5.51309	0
5.51312	0
5.51316	0
5.5132	0
5.51324	0
5.51328	0
5.51331	0
5.51335	0
5.51339	0
5.51342	0
5.51346	0
5.5135	0
5.51354	1
5.51358	0
5.51361	0
5.51365	0
5.51369	0
5.51372	0
5.51376	0
5.5138	0
5.51384	0
5.51387	0
5.51391	0
5.51395	0
5.51399	0
5.51403	0
5.51406	0
5.5141	0
5.51414	0
5.51417	0
5.51421	0
5.51425	0
5.51429	0
5.51433	0
5.51436	0
5.5144	0
5.51444	0
5.51448	0
5.51451	0
5.51455	0
5.51459	0
5.51462	0
5.51466	0
5.5147	0
5.51474	0
5.51478	0
5.51481	0
5.51485	0
5.51489	0
5.51492	0
5.51496	0
5.515	0
5.51504	0
5.51508	0
5.51511	0
5.51515	0
5.51519	0
5.51523	0
5.51526	0
5.5153	0
5.51534	0
5.51537	0
5.51541	0
5.51545	0
5.51549	0
5.51553	0
5.51556	0
5.5156	0
5.51564	0
5.51567	0
5.51571	0
5.51575	0
5.51579	0
5.51583	0
5.51586	0
5.5159	0
5.51594	0
5.51598	0
5.51601	0
5.51605	0
5.51609	0
5.51612	0
5.51616	0
5.5162	0
5.51624	0
5.51628	0
5.51631	0
5.51635	0
5.51639	0
5.51642	0
5.51646	0
5.5165	0
5.51654	0
5.51658	0
5.51661	0
5.51665	0
5.51669	0
5.51673	0
5.51676	0
5.5168	0
5.51684	0
5.51687	0
5.51691	0
5.51695	0
5.51699	0
5.51703	0
5.51706	0
5.5171	0
5.51714	0
5.51717	0
5.51721	0
5.51725	0
5.51729	0
5.51733	0
5.51736	0
5.5174	0
5.51744	0
